CICLO ,salario tela,tela,deposito,saque,aposta,"3,714"
CICLO 1,1.5,1,10,0,525,
CICLO 1,2.0,2,171,186,320,
CICLO 1,1.5,3,15,48,468,
CICLO 1,2.0,4,79,54,144,
CICLO 1,1.5,5,11,0,306,
CICLO 1,2.0,6,126,96,208,
CICLO 1,1.5,7,14,0,73,
CICLO 1,2.0,8,74,70,222,
CICLO 1,1.5,9,12,33,147,
CICLO 1,2.0,10,118,117,257,
CICLO 1,1.5,11,11,153,338,
CICLO 1,2.0,12,61,28,192,
CICLO 1,1.5,13,15,0,122,
CICLO 1,2.0,14,137,119,257,
CICLO 1,1.5,15,10,0,324,
CICLO 1,2.0,16,84,74,237,
CICLO 1,1.5,17,14,0,74,
CICLO 1,2.0,18,92,97,242,
CICLO 1,1.5,19,11,0,177,
CICLO 1,2.0,20,163,168,258,
CICLO 1,35,,"1,228","1,243","4,891",
,,,,,,
2,1.5,1,10,0,280,
2,2.0,2,171,164,349,
2,1.5,3,15,0,526,
2,2.0,4,79,69,236,
2,1.5,5,11,0,225,
2,2.0,6,126,116,325,
2,1.5,7,14,0,451,
2,2.0,8,74,68,191,
2,1.5,9,12,0,260,
2,2.0,10,118,99,248,
2,1.5,11,11,49,186,
2,2.0,12,61,69,163,
2,1.5,13,15,0,250,
2,2.0,14,137,127,312,
2,1.5,15,10,0,85,
2,2.0,16,84,86,193,
2,1.5,17,14,0,353,
2,2.0,18,92,115,202,
2,1.5,19,11,0,261,
2,2.0,20,163,179,268,
,35,,"1,228",1141,5364,
,,,,,,
3,1.5,1,10,0,318,
3,2.0,2,171,161,364,
3,1.5,3,15,0,230,
3,2.0,4,79,52,209,
3,1.5,5,11,0,119,
3,2.0,6,126,146,310,
3,1.5,7,14,0,462,
3,2.0,8,74,62,182,
3,1.5,9,12,0,356,
3,2.0,10,118,100,233,
3,1.5,11,11,0,429,
3,2.0,12,61,55,144,
3,1.5,13,15,0,272,
3,2.0,14,137,139,352,
3,1.5,15,10,0,111,
3,2.0,16,84,55,178,
3,1.5,17,14,0,159,
3,2.0,18,92,76,197,
3,1.5,19,11,0,185,
3,2.0,20,163,162,304,
,35,,"1,065",846,5114,
